,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%,Ht,Wt,S/C,Exp,Salary,Team
19,Ville Husso,28.0,G,18,0,1,1,0,0,0,0,0,0,1,0,0,0,,1004.0,55:47,0.0,0.0,2.6,0,0,0,0,,6-3,205,-/L,3,4750000.0,DET
20,Alex Lyon,31.0,G,21,0,1,1,0,2,0,0,0,0,0,1,0,0,,1193.0,56:48,0.0,0.0,4.9,0,0,0,0,,6-1,196,-/L,6,900000.0,DET
21,James Reimer,35.0,G,14,0,0,0,0,4,0,0,0,0,0,0,0,0,,745.0,53:12,0.0,0.0,1.8,0,0,0,0,,6-2,200,-/L,13,1500000.0,DET
0,Nikita Kucherov,30.0,RW,49,32,53,85,5,12,21,11,0,5,27,26,0,210,15.2,1076.0,21:58,8.3,1.5,9.8,19,21,2,2,50.0,5-11,181,L/-,9,5000000.0,TBL
1,Brayden Point,27.0,C,50,25,29,54,-9,8,18,7,0,6,17,12,0,137,18.2,1022.0,20:27,4.8,0.9,5.7,31,10,161,206,43.9,5-11,180,R/-,7,5000000.0,TBL
2,Victor Hedman,33.0,D,48,9,41,50,4,40,5,4,0,1,24,17,0,101,8.9,1178.0,24:32,4.2,2.9,7.2,58,29,0,0,,6-7,244,L/-,14,5000000.0,TBL
3,Steven Stamkos,33.0,C,47,21,26,47,-17,22,10,11,0,3,10,16,0,146,14.4,884.0,18:48,4.1,0.4,4.6,18,32,204,190,51.8,6-0,182,R/-,15,1000000.0,TBL
4,Brandon Hagel,25.0,LW,50,16,27,43,-1,43,16,0,0,1,23,4,0,118,13.6,949.0,18:59,3.1,1.1,4.2,28,20,20,24,45.5,6-2,179,L/-,4,2050000.0,TBL
5,Anthony Cirelli,26.0,C,49,10,15,25,-5,30,7,3,0,0,14,1,0,90,11.1,890.0,18:10,0.9,0.9,1.8,46,26,264,276,48.9,6-0,189,L/-,6,1625000.0,TBL
6,Darren Raddysh,27.0,D,50,4,14,18,-5,8,4,0,0,2,12,2,0,64,6.3,968.0,19:22,0.9,1.8,2.7,54,45,0,0,,6-1,200,R/-,2,775000.0,TBL
7,Luke Glendening,34.0,C,50,8,1,9,2,29,7,0,1,1,1,0,0,31,25.8,571.0,11:26,0.1,0.8,0.8,32,61,329,251,56.7,5-11,190,R/-,10,800000.0,TBL
