,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%,Ht,Wt,S/C,Exp,Salary,Team
19,Adam Raska,22.0,RW,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,34.0,6:49,-0.1,0.0,-0.1,1,11,0,0,,5-10,178,R/-,2,775000.0,MIN
20,Jesper Wallstedt,21.0,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,60.0,60:00,0.0,0.0,-0.2,0,0,0,0,,6-3,214,-/L,0,832500.0,MIN
0,Jason Dickinson,28.0,C,49,15,10,25,8,33,14,1,0,1,10,0,0,77,19.5,799.0,16:19,1.7,1.5,3.2,43,76,353,382,48.0,6-2,200,L/-,8,3250000.0,CHI
1,Philipp Kurashev,24.0,C,42,8,16,24,-26,17,5,3,0,2,11,5,0,77,10.4,784.0,18:40,0.9,0.3,1.2,29,9,87,98,47.0,6-0,190,L/-,3,2250000.0,CHI
2,Nick Foligno,36.0,LW,42,9,9,18,-7,43,4,4,1,0,7,2,0,85,10.6,735.0,17:29,0.6,0.9,1.5,22,90,86,95,47.5,6-0,210,L/-,16,2000000.0,CHI
3,Seth Jones,29.0,D,34,1,14,15,-11,22,1,0,0,1,12,2,0,78,1.3,862.0,25:21,0.5,1.6,2.1,82,30,0,0,,6-4,213,R/-,10,7500000.0,CHI
4,Ryan Donato,27.0,C,45,6,8,14,-15,15,6,0,0,0,7,1,0,91,6.6,663.0,14:44,0.1,0.5,0.6,15,46,76,98,43.7,6-0,190,L/-,6,2000000.0,CHI
5,Taylor Raddysh,25.0,RW,44,5,5,10,-12,12,3,1,1,0,4,1,0,73,6.8,732.0,16:38,-0.6,0.7,0.1,20,45,10,26,27.8,6-3,198,R/-,2,775000.0,CHI
6,Alex Vlasic,22.0,D,43,1,9,10,2,27,1,0,0,1,8,1,0,39,2.6,908.0,21:07,-0.1,2.7,2.7,82,24,0,0,,6-6,199,L/-,2,832500.0,CHI
7,Boris Katchouk,25.0,LW,30,5,4,9,0,10,4,0,1,0,4,0,0,41,12.2,378.0,12:36,0.3,0.6,0.9,10,32,12,14,46.2,6-2,206,L/-,2,775000.0,CHI
8,Lukas Reichel,21.0,LW,46,3,6,9,-26,12,1,2,0,0,6,0,0,61,4.9,667.0,14:31,-0.7,0.1,-0.6,16,15,84,109,43.5,6-0,170,L/-,2,832500.0,CHI
9,Kevin Korchinski,19.0,D,43,2,7,9,-22,10,2,0,0,1,2,5,0,52,3.8,854.0,19:52,0.0,0.8,0.8,50,7,0,0,,6-1,185,L/-,0,855000.0,CHI
10,Cole Guttman,24.0,C,27,4,4,8,-17,7,2,2,0,0,3,1,0,50,8.0,341.0,12:37,0.2,-0.1,0.1,14,10,60,60,50.0,5-9,167,R/-,1,855000.0,CHI
11,Joey Anderson,25.0,RW,22,2,6,8,7,4,2,0,0,0,6,0,0,21,9.5,302.0,13:42,0.1,0.7,0.9,10,13,0,1,0.0,6-0,207,R/-,5,800000.0,CHI
12,Colin Blackwell,30.0,C,19,3,3,6,1,4,2,1,0,1,3,0,0,41,7.3,292.0,15:21,0.1,0.5,0.6,8,24,18,24,42.9,5-9,190,R/-,5,1200000.0,CHI
13,Jarred Tinordi,31.0,D,28,0,6,6,-18,35,0,0,0,0,5,0,1,19,0.0,446.0,15:55,0.0,-0.1,0.0,58,75,0,0,,6-6,229,L/-,8,1250000.0,CHI
14,Isaak Phillips,22.0,D,25,0,5,5,-19,22,0,0,0,0,5,0,0,22,0.0,438.0,17:31,-0.1,-0.2,-0.2,26,35,0,0,,6-3,205,L/-,2,800000.0,CHI
15,Reese Johnson,25.0,F,32,2,1,3,-18,18,2,0,0,0,1,0,0,41,4.9,366.0,11:26,-0.5,-0.1,-0.6,16,74,38,37,50.7,6-1,193,R/-,3,850000.0,CHI
16,Louis Crevier,22.0,D,15,0,3,3,-10,4,0,0,0,0,3,0,0,10,0.0,241.0,16:03,0.0,-0.1,-0.1,32,13,0,0,,6-8,228,R/-,0,775000.0,CHI
17,Zach Sanford,29.0,LW,10,0,3,3,-3,2,0,0,0,0,2,1,0,6,0.0,123.0,12:18,-0.1,0.1,0.0,7,8,20,37,35.1,6-4,206,L/-,6,,CHI
18,Jaycob Megna,31.0,D,12,0,1,1,0,8,0,0,0,0,1,0,0,6,0.0,218.0,18:08,-0.2,0.6,0.4,27,16,0,0,,6-6,220,L/-,5,775000.0,CHI
19,Petr Mrazek,31.0,G,33,0,0,0,0,0,0,0,0,0,0,0,0,0,,1854.0,56:11,0.0,0.0,6.3,0,0,0,0,,6-2,188,-/L,11,4400000.0,CHI
20,Rem Pitlick,26.0,C,8,0,0,0,-6,2,0,0,0,0,0,0,0,13,0.0,131.0,16:22,-0.4,0.0,-0.4,6,7,2,3,40.0,5-11,186,L/-,4,1100000.0,CHI
21,Arvid Soderblom,24.0,G,20,0,0,0,0,0,0,0,0,0,0,0,0,0,,1077.0,53:52,0.0,0.0,1.5,0,0,0,0,,6-3,179,-/L,2,775000.0,CHI
