,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%,Ht,Wt,S/C,Exp,Salary,Team
15,Dillon Dube,25.0,C,43,3,4,7,-13,8,2,1,0,0,4,0,0,42,7.1,480.0,11:10,-0.4,0.0,-0.3,18,31,26,23,53.1,5-11,185,L/-,5,2400000.0,CGY
16,Nick DeSimone,29.0,D,23,1,4,5,-4,2,1,0,0,1,4,0,0,19,5.3,277.0,12:03,0.2,0.3,0.5,21,12,0,0,,6-2,185,R/-,1,775000.0,CGY
17,Jacob Markstrom,34.0,G,26,0,2,2,0,0,0,0,0,0,1,1,0,0,,1552.0,59:41,0.0,0.0,5.1,0,0,0,0,,6-6,207,-/L,13,8000000.0,CGY
18,Jordan Oesterle,31.0,D,18,0,2,2,-4,4,0,0,0,0,2,0,0,17,0.0,253.0,14:05,-0.1,0.2,0.1,29,14,0,0,,6-0,187,L/-,9,925000.0,CGY
19,Daniel Vladar,26.0,G,15,0,0,0,0,0,0,0,0,0,0,0,0,0,,877.0,58:26,0.0,0.0,1.6,0,0,0,0,,6-5,209,-/L,3,2200000.0,CGY
20,Dustin Wolf,22.0,G,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,277.0,55:29,0.0,0.0,0.7,0,0,0,0,,6-0,166,-/L,1,775000.0,CGY
0,Oliver Bjorkstrand,28.0,RW,45,12,24,36,-4,2,7,5,0,2,15,9,0,121,9.9,743.0,16:30,2.5,0.8,3.4,8,31,6,12,33.3,6-0,175,R/-,8,5350000.0,SEA
1,Vince Dunn,27.0,D,42,8,27,35,0,48,4,4,0,0,17,9,1,84,9.5,974.0,23:12,2.9,2.3,5.2,43,25,0,0,,6-0,200,L/-,6,9000000.0,SEA
2,Jared McCann,27.0,C,44,18,11,29,-10,19,11,7,0,3,6,5,0,112,16.1,728.0,16:32,2.5,0.6,3.1,17,19,48,53,47.5,6-1,191,L/-,8,6000000.0,SEA
3,Eeli Tolvanen,24.0,RW,45,12,17,29,-2,10,12,0,0,1,11,6,0,93,12.9,717.0,15:56,1.9,0.9,2.8,51,95,8,12,40.0,5-10,191,L/-,5,1450000.0,SEA
4,Jordan Eberle,33.0,RW,41,6,16,22,0,9,5,1,0,2,11,5,0,86,7.0,711.0,17:20,0.7,1.0,1.7,9,13,17,25,40.5,5-11,190,R/-,13,3750000.0,SEA
5,Jaden Schwartz,31.0,C,29,9,10,19,-9,10,4,5,0,0,7,3,0,59,15.3,494.0,17:02,1.3,0.3,1.6,15,19,53,40,57.0,5-10,185,L/-,12,7000000.0,SEA
6,Yanni Gourde,32.0,C,45,7,12,19,-5,48,7,0,0,0,11,1,0,97,7.2,801.0,17:48,0.3,0.9,1.2,21,65,296,322,47.9,5-9,174,L/-,8,5100000.0,SEA
7,Alexander Wennberg,29.0,C,45,7,11,18,3,12,5,1,1,3,10,1,0,64,10.9,844.0,18:45,0.1,1.2,1.3,49,18,336,388,46.4,6-2,190,L/-,9,5000000.0,SEA
8,Tye Kartye,22.0,F,44,8,6,14,0,27,8,0,0,0,6,0,0,75,10.7,532.0,12:05,0.6,0.7,1.3,14,82,14,14,50.0,5-11,202,L/-,0,775000.0,SEA
9,Justin Schultz,33.0,D,37,4,10,14,-11,20,4,0,0,1,5,5,0,57,7.0,589.0,15:55,1.0,0.6,1.6,37,11,0,0,,6-2,190,R/-,11,3000000.0,SEA
10,Adam Larsson,31.0,D,45,3,11,14,3,26,3,0,0,0,10,0,1,78,3.8,1042.0,23:10,0.3,2.7,3.0,85,75,0,0,,6-3,209,R/-,12,5500000.0,SEA
11,Kailer Yamamoto,25.0,RW,42,7,5,12,-5,12,5,2,0,2,3,2,0,43,16.3,510.0,12:09,0.4,0.5,0.9,13,15,13,18,41.9,5-8,153,R/-,6,1500000.0,SEA
12,Brian Dumoulin,32.0,D,44,3,6,9,1,14,3,0,0,1,6,0,0,32,9.4,717.0,16:17,0.2,1.8,2.0,41,38,0,0,,6-4,207,L/-,10,3300000.0,SEA
13,Jamie Oleksiak,31.0,D,45,2,6,8,7,19,2,0,0,0,6,0,0,56,3.6,902.0,20:02,-0.2,2.6,2.5,108,52,0,0,,6-7,257,L/-,11,6000000.0,SEA
