,Player,Pos,Age,Ht,Wt,S/C,Exp,Salary,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%,Team
12,Ryan O'Reilly,F,32,6-1,207,L/-,14,5000000.0,44,16,22,38,3,8,6,10,0,1,14,8,0,103,15.5,875.0,19:54,2.9,1.1,4.0,31,16,434,398,52.2,NSH
13,Juuse Saros,G,28,5-11,180,-/L,8,6000000.0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,,1886.0,55:28,0.0,0.0,5.2,0,0,0,0,,NSH
14,Luke Schenn,D,34,6-2,225,R/-,15,2750000.0,25,0,4,4,1,18,0,0,0,0,4,0,0,24,0.0,376.0,15:03,-0.1,0.9,0.8,32,72,0,0,,NSH
15,Kiefer Sherwood,F,28,6-0,194,R/-,5,775000.0,35,5,6,11,5,20,5,0,0,0,6,0,0,58,8.6,426.0,12:10,0.4,0.7,1.0,14,100,9,15,37.5,NSH
16,Colton Sissons,F,30,6-1,200,R/-,9,3500000.0,44,12,9,21,-3,20,6,3,3,2,6,2,1,77,15.6,747.0,16:58,1.2,0.7,1.9,28,71,321,319,50.2,NSH
17,Cole Smith,F,28,6-3,195,L/-,3,775000.0,43,5,11,16,3,41,4,0,1,2,9,0,2,63,7.9,582.0,13:31,0.5,0.7,1.2,20,111,5,8,38.5,NSH
18,Philip Tomasino,F,22,6-0,179,R/-,2,832500.0,36,5,12,17,-6,25,5,0,0,2,8,4,0,59,8.5,459.0,12:44,0.9,0.3,1.2,16,7,3,15,16.7,NSH
19,Yakov Trenin,F,27,6-2,201,L/-,4,1700000.0,41,7,2,9,1,21,7,0,0,2,1,0,1,63,11.1,624.0,15:13,-0.2,0.7,0.6,20,95,19,20,48.7,NSH
0,Nick Bjugstad,F,31,6-6,209,R/-,11,2100000.0,42,9,17,26,5,30,6,2,1,1,14,3,0,86,10.5,746.0,17:46,1.3,1.1,2.5,25,54,366,351,51.0,ARI
1,Travis Boyd,F,30,6-0,190,L/-,6,2000000.0,16,2,6,8,3,2,2,0,0,1,6,0,0,12,16.7,154.0,9:37,0.5,0.3,0.8,10,7,23,20,53.5,ARI
2,Josh Brown,D,30,6-5,220,R/-,5,,22,1,2,3,-4,41,1,0,0,1,2,0,0,19,5.3,293.0,13:19,0.0,0.4,0.4,40,32,0,0,,ARI
3,Michael Carcone,F,27,5-9,170,L/-,2,775000.0,39,14,5,19,4,12,12,1,1,1,4,1,0,58,24.1,438.0,11:14,2.0,0.7,2.7,13,27,0,5,0.0,ARI
4,Logan Cooley,F,19,5-10,174,L/-,0,855000.0,42,4,17,21,-12,10,2,2,0,1,9,8,0,66,6.1,677.0,16:07,0.5,0.4,1.0,19,19,137,194,41.4,ARI
5,Lawson Crouse,F,26,6-4,215,L/-,7,4600000.0,41,17,10,27,2,23,14,3,0,1,6,3,1,96,17.7,705.0,17:12,2.3,1.0,3.3,28,70,18,38,32.1,ARI
6,Travis Dermott,D,27,6-0,200,L/-,6,800000.0,27,0,2,2,-11,8,0,0,0,0,2,0,0,26,0.0,473.0,17:30,-0.4,0.3,-0.1,35,21,0,0,,ARI
7,Sean Durzi,D,25,6-0,195,R/-,2,2000000.0,36,7,18,25,10,37,4,3,0,1,11,7,0,69,10.1,804.0,22:20,2.1,2.6,4.7,77,15,0,0,,ARI
