,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%,Ht,Wt,S/C,Exp,Team,specific_pos,Cap%,Salary
73,Reilly Smith,32.0,RW,40.0,8.0,12.0,20.0,-1.0,6.0,7.0,1.0,0.0,1.0,7.0,5.0,0.0,80.0,10.0,649.0,16:14,0.9,0.7,1.6,10.0,21.0,3.0,6.0,33.3,6-1,185.0,L/-,12.0,PIT,"LW, RW",6.0,5000000.0
74,Rickard Rakell,30.0,RW,30.0,5.0,11.0,16.0,2.0,4.0,3.0,2.0,0.0,1.0,9.0,2.0,0.0,79.0,6.3,518.0,17:16,0.6,0.6,1.2,19.0,35.0,3.0,6.0,33.3,6-1,195.0,R/-,11.0,PIT,"RW, LW",6.0,5000000.0
75,Marcus Pettersson,27.0,D,42.0,1.0,15.0,16.0,21.0,20.0,1.0,0.0,0.0,0.0,15.0,0.0,0.0,53.0,1.9,947.0,22:32,0.5,3.5,4.0,73.0,45.0,0.0,0.0,,6-3,177.0,L/-,6.0,PIT,LD,4.8,4025175.0
76,Drew O'Connor,25.0,F,42.0,6.0,9.0,15.0,8.0,10.0,6.0,0.0,0.0,1.0,8.0,0.0,1.0,82.0,7.3,619.0,14:44,0.3,1.0,1.3,21.0,25.0,13.0,13.0,50.0,6-3,200.0,L/-,3.0,PIT,LW,1.1,925000.0
77,Lars Eller,34.0,C,42.0,7.0,6.0,13.0,2.0,16.0,5.0,1.0,1.0,0.0,6.0,0.0,0.0,80.0,8.8,625.0,14:53,0.2,0.8,1.0,29.0,27.0,236.0,219.0,51.9,6-2,205.0,L/-,14.0,PIT,C,2.9,2450000.0
78,Jeff Carter,39.0,C,36.0,5.0,2.0,7.0,-2.0,10.0,3.0,1.0,1.0,3.0,2.0,0.0,0.0,44.0,11.4,417.0,11:34,0.0,0.4,0.4,16.0,28.0,97.0,57.0,63.0,6-3,219.0,R/-,18.0,PIT,"RW, C",3.7,3125000.0
79,Ryan Graves,28.0,D,42.0,2.0,5.0,7.0,13.0,20.0,2.0,0.0,0.0,1.0,5.0,0.0,0.0,49.0,4.1,814.0,19:23,-0.1,2.7,2.5,80.0,34.0,0.0,0.0,,6-5,220.0,L/-,5.0,PIT,LD,5.4,4500000.0
80,Valtteri Puustinen,24.0,RW,17.0,1.0,6.0,7.0,2.0,4.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,32.0,3.1,191.0,11:14,0.3,0.3,0.5,11.0,7.0,1.0,2.0,33.3,5-9,183.0,R/-,1.0,PIT,"RW, LW",0.9,775000.0
81,Noel Acciari,32.0,C,34.0,3.0,1.0,4.0,2.0,6.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,39.0,7.7,440.0,12:56,-0.5,0.6,0.0,52.0,66.0,194.0,163.0,54.3,5-10,209.0,R/-,8.0,PIT,"C, RW",2.4,2000000.0
82,Jansen Harkins,26.0,C,27.0,0.0,4.0,4.0,-2.0,12.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,25.0,0.0,232.0,8:37,-0.3,0.2,-0.1,8.0,39.0,2.0,0.0,100.0,6-2,197.0,L/-,4.0,PIT,LW,1.0,850000.0
83,Chad Ruhwedel,33.0,D,28.0,1.0,1.0,2.0,-3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0,5.0,346.0,12:22,-0.1,0.5,0.4,23.0,38.0,0.0,0.0,,5-11,191.0,R/-,11.0,PIT,RD,1.0,800000.0
84,Pierre-Olivier Joseph,24.0,D,15.0,0.0,2.0,2.0,-5.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,12.0,0.0,207.0,13:47,-0.1,0.1,0.0,10.0,9.0,0.0,0.0,,6-2,185.0,L/-,3.0,PIT,LD,1.0,825000.0
85,Tristan Jarry,28.0,G,29.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,33.3,1572.0,54:12,0.0,0.0,5.4,0.0,0.0,0.0,0.0,,6-2,194.0,-/L,7.0,PIT,G,6.4,5375000.0
86,Alex Nedeljkovic,28.0,G,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,835.0,55:40,0.0,0.0,3.1,0.0,0.0,0.0,0.0,,6-0,189.0,-/L,6.0,PIT,G,1.8,1500000.0
